Option 1,Option 2,Option 3,Option 4
   ,AB De Villiers,    ,Rohit Sharma
Evil,  ,    ,Miserly
   ,9,    ,8
,Jaisalmer,Amritsar,   
   ,   ,Sindhi,English
Cricket,Football,    ,   
1920,   ,1972,   
Bangladesh,  ,    ,Australia
    ,Cricket,Hockey,   
   ,Yuvraj Singh,    ,Zaheer Khan
   ,Cricket,Hockey,   
   ,Football,    ,Tennis
 Australia,West Indies,    ,   
Kolkata,Mumbai,    ,   
Wrestling,   ,    ,Running
  ,Rane Laennec ,Henry Becquerel,   
   ,Tridax,    ,Indigofera
   ,Malaria,Dermatitis,   
   ,   ,Japan,Australia
Thar,   ,Gobi,   
   ,Mahishmati,    ,Badami
   ,Gastric,Bypass,   
Israel,Jordan,    ,   
   ,   ,Mridangam,Dafli
Antonio Gramsci,  ,    ,Vladimir Lenin
Arjan Singh,Pratap Chandra Lal,    ,   
   ,  ,Red Fort,Mangalyaan
Gangtok,  ,Darjeeling,   
   ,   ,Japanese Encephalitis,Plague
Mohd Hamid Ansari,I K Gujral,    ,   
   ,Aparna Balan,Saina Nehwal,   
Mahatma Gandhi,  ,    ,Mother Teresa
Hanuman,  ,Shiva,   
