Option 1,Option 2,Option 3,Option 4
Corey Anderson,AB De Villiers,Shahid Afridi,Rohit Sharma
Evil,Humble,Dishonest,Miserly
10,9,7,8
Srinagar,Jaisalmer,Amritsar,Udhampur
Hindi,Palauan,Sindhi,English
Cricket,Football,Badminton,Hockey
1920,1928,1972,1976
Bangladesh,Kenya,Pakistan,Australia
polo,Cricket,Hockey,Football
Virat Kohli,Yuvraj Singh,M.S. Dhoni,Zaheer Khan
Tennis,Cricket,Hockey,Polo
Cricket,Football,Hockey,Tennis
Australia,West Indies,South Africa,India
Kolkata,Mumbai,Delhi,Jaipur
Wrestling,Swimming,Boxing,Running
Bessemer,Rane Laennec,Henry Becquerel,None of these
Sida,Tridax,Tephrosia,Indigofera
Polio,Malaria,Dermatitis,Cholera
China,Taiwan,Japan,Australia
Thar,Sahara,Gobi,None of these
Magadh,Mahishmati,Kalinga,Badami
Cataract,Gastric,Bypass,Debriment
Israel,Jordan,Saudi Arabia,Qatar
Tabla,Santoor,Mridangam,Dafli
Antonio Gramsci,Che Guevera,Leon Trotsky,Vladimir Lenin
Arjan Singh,Pratap Chandra Lal,Subroto Mukarjee,Aspy Engineer
Parliament of India,Tractor,Red Fort,Mangalyaan
Gangtok,Aizawl,Darjeeling,Kohima
Rabies,Tetanus,Japanese Encephalitis,Plague
Mohd Hamid Ansari,I K Gujral,Mohd Hidayatullah,Zakir Hussain
P V Sindhu,Aparna Balan,Saina Nehwal,Jwala Gutta
Mahatma Gandhi,Swami Vivekananda,Rabindranath Tagore,Mother Teresa
Hanuman,Vishnu,Shiva,Kamadeva
